Term,Canada
Canada appeared in x documents,Total Words(m),Frequency
1news_article.txt,99,2
2news_article.txt,79,3
3news_article.txt,63,3
4news_article.txt,111,3
5news_article.txt,98,3
6news_article.txt,108,1
7news_article.txt,64,2
8news_article.txt,65,2
9news_article.txt,95,3
10news_article.txt,77,2
12news_article.txt,94,2
14news_article.txt,98,2
15news_article.txt,91,2
16news_article.txt,93,2
17news_article.txt,102,3
18news_article.txt,94,3
19news_article.txt,99,2
21news_article.txt,103,1
22news_article.txt,64,2
23news_article.txt,95,2
24news_article.txt,96,1
25news_article.txt,95,4
26news_article.txt,94,3
27news_article.txt,108,3
28news_article.txt,101,1
29news_article.txt,103,2
31news_article.txt,101,4
32news_article.txt,100,3
33news_article.txt,98,2
34news_article.txt,100,3
35news_article.txt,89,3
36news_article.txt,95,2
37news_article.txt,101,3
39news_article.txt,101,2
40news_article.txt,91,3
44news_article.txt,45,2
45news_article.txt,90,2
46news_article.txt,109,3
47news_article.txt,93,3
48news_article.txt,100,2
49news_article.txt,67,1
50news_article.txt,96,2
51news_article.txt,94,1
52news_article.txt,64,1
53news_article.txt,94,3
54news_article.txt,80,1
55news_article.txt,107,3
56news_article.txt,96,3
57news_article.txt,94,2
58news_article.txt,48,2
59news_article.txt,97,1
60news_article.txt,89,3
61news_article.txt,53,1
62news_article.txt,99,2
63news_article.txt,93,1
64news_article.txt,94,3
65news_article.txt,102,2
66news_article.txt,76,3
67news_article.txt,73,2
68news_article.txt,74,3
69news_article.txt,85,3
70news_article.txt,87,2
71news_article.txt,90,3
72news_article.txt,93,4
73news_article.txt,96,2
74news_article.txt,85,5
75news_article.txt,88,3
76news_article.txt,90,3
77news_article.txt,90,2
78news_article.txt,47,2
79news_article.txt,59,2
80news_article.txt,85,1
81news_article.txt,107,3
83news_article.txt,99,2
84news_article.txt,86,3
85news_article.txt,94,1
86news_article.txt,97,2
87news_article.txt,90,2
88news_article.txt,102,3
89news_article.txt,103,1
90news_article.txt,103,3
91news_article.txt,99,1
92news_article.txt,90,1
93news_article.txt,87,3
94news_article.txt,92,1
95news_article.txt,97,3
96news_article.txt,99,1
97news_article.txt,94,3
98news_article.txt,93,3
99news_article.txt,100,1
149news_article.txt,96,1
203news_article.txt,94,1
214news_article.txt,73,3
218news_article.txt,99,2
219news_article.txt,82,1
223news_article.txt,90,3
232news_article.txt,86,2
240news_article.txt,85,2
244news_article.txt,91,2
257news_article.txt,92,2
260news_article.txt,76,3
264news_article.txt,75,2
273news_article.txt,90,3
275news_article.txt,91,2
276news_article.txt,75,2
285news_article.txt,74,1
287news_article.txt,71,2
289news_article.txt,84,3
292news_article.txt,96,3
293news_article.txt,66,1
294news_article.txt,89,1
298news_article.txt,86,3
299news_article.txt,74,2
304news_article.txt,91,3
307news_article.txt,100,1
311news_article.txt,94,1
318news_article.txt,89,1
328news_article.txt,80,3
342news_article.txt,74,3
343news_article.txt,97,2
351news_article.txt,82,1
357news_article.txt,68,1
361news_article.txt,86,1
369news_article.txt,93,2
375news_article.txt,68,1
379news_article.txt,65,2
382news_article.txt,96,1
385news_article.txt,73,3
386news_article.txt,66,1
389news_article.txt,101,2
398news_article.txt,97,4
400news_article.txt,99,1
401news_article.txt,99,1
402news_article.txt,85,1
403news_article.txt,91,2
404news_article.txt,94,3
405news_article.txt,83,2
406news_article.txt,109,1
407news_article.txt,104,1
408news_article.txt,98,2
410news_article.txt,93,1
411news_article.txt,100,1
412news_article.txt,80,1
414news_article.txt,105,1
418news_article.txt,106,1
419news_article.txt,91,1
420news_article.txt,101,1
428news_article.txt,121,3
435news_article.txt,94,2
437news_article.txt,95,2
438news_article.txt,102,1
443news_article.txt,74,3
450news_article.txt,81,1
451news_article.txt,74,1
452news_article.txt,85,2
454news_article.txt,92,2
455news_article.txt,101,2
457news_article.txt,57,2
463news_article.txt,69,1
466news_article.txt,82,1
467news_article.txt,80,2
475news_article.txt,93,1
476news_article.txt,85,2
477news_article.txt,99,1
478news_article.txt,105,1
479news_article.txt,70,1
480news_article.txt,97,1
482news_article.txt,95,1
483news_article.txt,82,1
485news_article.txt,81,2
490news_article.txt,88,3
492news_article.txt,71,3
493news_article.txt,99,2
495news_article.txt,91,3
497news_article.txt,69,1
498news_article.txt,71,1
499news_article.txt,75,1
500news_article.txt,94,1
503news_article.txt,97,2
507news_article.txt,92,1
511news_article.txt,97,4
514news_article.txt,76,2
519news_article.txt,56,3
521news_article.txt,94,2
526news_article.txt,74,2
528news_article.txt,69,1
530news_article.txt,79,1
532news_article.txt,84,1
533news_article.txt,79,1
540news_article.txt,75,4
564news_article.txt,73,4
567news_article.txt,76,1
577news_article.txt,84,2
580news_article.txt,88,2
594news_article.txt,72,2
610news_article.txt,97,1
613news_article.txt,95,2
620news_article.txt,95,2
631news_article.txt,53,1
635news_article.txt,92,1
636news_article.txt,93,2
642news_article.txt,102,3
650news_article.txt,57,2
656news_article.txt,94,2
658news_article.txt,100,1
663news_article.txt,97,3
666news_article.txt,98,1
671news_article.txt,96,2
672news_article.txt,88,1
674news_article.txt,91,2
678news_article.txt,92,3
689news_article.txt,96,3
690news_article.txt,104,1
695news_article.txt,94,3
696news_article.txt,91,1
699news_article.txt,53,1
