Tweet,Message/tweets,positive,negative,polarity
1," VistaUniverse Yukon Canada  
via marcadamus httpst.coHcxecDum6E",,,neutral
2, MerlinofCanada Well its not my coffee shop and a latte but I am the only one here sitting on the bank of the Bow beautiful day sendin,"beautiful, well",,positive
3," Virgenmariaa Santsima Virgen Canad 1949

Si los hombres no se convierten vendr un castigo mundial.",,,neutral
4,More CBCRadioCanada news kids and entertainment programming available to Canadians during COVID19 crisis httpst.co3mN4gBNYUc CBC RadioCanada PublicBroadcasting,available,crisis,neutral
5," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
6," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
7,Seems the socialists in Canada may have a humble come down they are of the opinion nobody in their right mind would move from the utopia of Canada to the USA httpst.comkqmCjXLC4,"humble, right",,positive
8," NancyCrouse I am in Ontario and I just received an alert on my cell phone. CIVIL EMERGENCY ALE. 
All people returning to Canada mus",,emergency,negative
9, NoLore As you sit there laid off or out of work just remember that there are enough billionaires in Canada that could feed us all fo,"enough, work",,positive
10, StopCOVID19CAN JustinTrudeau ACSPCanada celliottability fordnation If the flu an airborne virus is confirmed to spread through,,virus,negative
11, Censelio rodrigovega 80 UK 75 Canad. Los que sobrevivan a esta crisis tienen por obligacin construir un nuevo pacto social en m,,crisis,negative
12,cant wait to pack my shit and move to canada httpst.co2FKhtTio0B,,shit,negative
13," Dutch101 All Barbz Should Tune in to  Canadas Biggest Radio Station amp Join the NickiDay Celebration with Hits 93 Toronto 

Com",celebration,,positive
14,"YeimiMichels PiensaPrensa sebastianpinera Basta de soluciones mirando el mercado es el estado el que DEBE cubrir todas esas ne es audaz.

Te gusta Canad ac un ejemplo

httpst.cotY7HIlqe0x

Y no es el nico.",,,neutral
15, RosieEmery Hope B.C. socialdistancing measures appear to have slowed the spread of COVID19 via globeandmail httpst.coXLixJXwm,,slowed,negative
16, donattroppo Canada announces a 75 per cent wage subsidy for qualifying businesses for up to 3 months retroactive to March 15 2020,,,neutral
17, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
18, tim4hire This is highly inappropriate conduct for any minister at any time. It is egregiously so for the Minister of Health to do this,,"egregiously, inappropriate",negative
19, CanadensisMax Dear American neighbours your President is a fucking nut.  Love Canada.,love,fucking,neutral
20," DevinHeroux This is just outstanding. 

After 40 years flying for Air Canada captain Blair Wiseman announces during flight from Casab",,,neutral
21, MichelleGhsoub Modelling shows physical distancing has halved spread of COVID19 in B.C. officials say httpst.copsuzSkxcZ3,,,neutral
22," chrismh My COVID19 most trusted sources 

Experts
 WHO DrTedros 
 CPHOCanada 
 CDCgov 

Humanitarian health leaders tha",trusted,,positive
23,Avec laide de Keith Dobson psychologue clinique et professeur UCalgary on a runi les conseils suivants pour aider les habitants du Canada  prserver leur sant mentale en mme temps quils veillent  leur bientre physique et  celui de leurs proches. covid19 coronavirus httpst.coSv9PwI6XeG,,,neutral
24, CarlosJLeitao 13 Finance minister BillMorneau mentions that in terms of supporting Canadians the government of Canada is willing,"supporting, willing",,positive
25,SkyNews Incredible she moves before borders closed but she was much safer in her secluded home in Canada than in LA.,incredible,,positive
26, ElectTories Thanks to our online petition and thousands of signatures from people like you the Conservative Party of Canada has suspe,like,conservative,neutral
27, TheSpec Indigo is temporarily laying off 5200 of its employees during the COVID19 pandemic. The book seller employs about 7000 peop,,,neutral
28,TheAuraWah OldSchoolSaul HowiesJam BosmerArcher5 JohnCleese Key word attempt by a crazy narcissit And failed why Um...geo advantagesclimate.Canada has A french colony that came from europe exactly the same scenario as USA except they spoke frenchq and Canadians chose a different political system.,,"crazy, failed",negative
