All words,Positive or Negative
beautiful,positive
well,positive
available,positive
crisis,negative
emergency,negative
emergency,negative
humble,positive
right,positive
emergency,negative
enough,positive
work,positive
virus,negative
crisis,negative
shit,negative
celebration,positive
slowed,negative
love,positive
fucking,negative
egregiously,negative
inappropriate,negative
love,positive
fucking,negative
trusted,positive
supporting,positive
willing,positive
incredible,positive
like,positive
conservative,negative
crazy,negative
failed,negative
afraid,negative
virus,negative
support,positive
like,positive
succeeded,positive
negatives,negative
intimidating,negative
openly,positive
illegal,negative
incompetent,negative
clear,positive
garbage,negative
murder,negative
trump,positive
attacks,negative
damaging,negative
good,positive
useful,positive
infection,negative
work,positive
refuse,negative
ready,positive
breaking,negative
stuck,negative
poised,positive
loss,negative
lost,negative
protective,positive
killed,negative
grand,positive
menace,negative
protect,positive
love,positive
crashing,negative
crisis,negative
failure,negative
right,positive
bad,negative
hell,negative
led,positive
like,positive
attack,negative
lack,negative
trump,positive
attacks,negative
damaging,negative
suffer,negative
unemployed,negative
breaking,negative
crashing,negative
crisis,negative
failure,negative
enjoying,positive
free,positive
like,positive
work,positive
win,positive
laughable,negative
intimidating,negative
glimmer,positive
kudos,positive
benefit,positive
emergency,negative
worried,negative
benefit,positive
best,positive
support,positive
emergency,negative
opposition,negative
well,positive
die,negative
suffer,negative
unemployed,negative
deceiving,negative
harms,negative
liable,negative
like,positive
despicable,negative
whores,negative
encourage,positive
concern,negative
symptoms,negative
fun,positive
safe,positive
crazy,negative
mistake,negative
wrong,negative
improves,positive
stability,positive
best,positive
ashamed,negative
pathetic,negative
breaking,negative
emergency,negative
work,positive
breaking,negative
fun,positive
modern,positive
sexy,positive
sweetheart,positive
sorry,negative
breaking,negative
resignation,negative
killed,negative
top,positive
emergency,negative
thank,positive
thank,positive
killed,negative
awesome,positive
love,positive
fucking,negative
like,positive
conservative,negative
love,positive
fucking,negative
thank,positive
clear,positive
worked,positive
conflict,negative
fuck,negative
positives,positive
scared,negative
work,positive
refuse,negative
suffering,negative
bother,negative
well,positive
grim,negative
protect,positive
trump,positive
lost,negative
noise,negative
emergency,negative
issue,negative
virus,negative
nice,positive
biased,negative
enough,positive
work,positive
breaking,negative
resignation,negative
attack,negative
condemns,negative
horrifying,negative
work,positive
mar,negative
work,positive
glowing,positive
modern,positive
outbreak,negative
breaking,negative
emergency,negative
disappointed,negative
support,positive
trump,positive
diligent,positive
motivated,positive
proud,positive
hard,negative
well,positive
grim,negative
like,positive
premier,positive
protect,positive
welcome,positive
fears,negative
virus,negative
love,positive
respect,positive
stuck,negative
fraud,negative
emergency,negative
easing,positive
emergency,negative
avalanche,negative
avalanche,negative
glimmer,positive
beautiful,positive
best,positive
benefit,positive
emergency,negative
lost,negative
easing,positive
petrified,negative
poised,positive
helped,positive
like,positive
outstanding,positive
proud,positive
difficult,negative
anxiety,negative
slower,negative
vice,negative
trump,positive
crisis,negative
sneak,negative
blame,negative
deny,negative
ignore,negative
harassed,negative
protective,positive
dedicated,positive
like,positive
support,positive
available,positive
ready,positive
limited,negative
charitable,positive
crisis,negative
destroy,negative
emergency,negative
fallout,negative
threatening,negative
protective,positive
stunned,positive
horrified,negative
blossom,positive
excited,positive
love,positive
free,positive
poverty,negative
glad,positive
great,positive
well,positive
grim,negative
like,positive
proud,positive
like,positive
limit,negative
love,positive
fucking,negative
intimidating,negative
effectively,positive
illegal,negative
breaking,negative
resignation,negative
beautiful,positive
thank,positive
unlimited,positive
problem,negative
shortage,negative
incredible,positive
win,positive
trump,positive
excited,positive
right,positive
romantic,positive
soft,positive
death,negative
depression,negative
isolation,negative
loss,negative
protect,positive
idol,positive
killing,negative
good,positive
sane,positive
glitch,negative
bless,positive
helping,positive
crashing,negative
crisis,negative
failure,negative
emergency,negative
love,positive
fucking,negative
poised,positive
generously,positive
good,positive
wow,positive
bad,negative
greedy,negative
losses,negative
intimidating,negative
unfortunately,negative
benefit,positive
top,positive
emergency,negative
lose,negative
leading,positive
premier,positive
harassment,negative
stress,negative
support,positive
problem,negative
sinister,negative
like,positive
limit,negative
freedom,positive
confrontation,negative
emergency,negative
lost,negative
good,positive
sane,positive
crazy,negative
hell,negative
refuse,negative
loses,negative
love,positive
fucking,negative
better,positive
fucking,negative
positive,positive
good,positive
work,positive
hard,negative
lie,negative
delay,negative
better,positive
perfect,positive
silent,positive
racist,negative
lead,positive
crisis,negative
risk,negative
unfit,negative
virus,negative
loving,positive
support,positive
good,positive
grateful,positive
thank,positive
uncertain,negative
crashing,negative
crisis,negative
failure,negative
like,positive
cripple,negative
intimidating,negative
emergency,negative
losing,negative
pinch,negative
clear,positive
benefit,positive
emergency,negative
lost,negative
slower,negative
vice,negative
crashing,negative
crisis,negative
failure,negative
like,positive
conservative,negative
fuck,negative
emergency,negative
helped,positive
useless,negative
harassment,negative
happy,positive
right,positive
available,positive
benefits,positive
important,positive
wonder,positive
available,positive
happy,positive
support,positive
rapport,positive
awesome,positive
super,positive
work,positive
breaking,negative
resignation,negative
amazing,positive
free,positive
protective,positive
like,positive
limit,negative
celebrate,positive
fabulous,positive
support,positive
work,positive
love,positive
fucking,negative
crashing,negative
crisis,negative
failure,negative
scam,negative
scam,negative
vulnerable,negative
glimmer,positive
worked,positive
trump,positive
attacks,negative
damaging,negative
easing,positive
petrified,negative
avalanche,negative
protect,positive
protect,positive
excuse,negative
good,positive
emergency,negative
better,positive
